Timestamp,PM2.5
2017-11-07,99.80583333333334
2017-11-08,110.9795652173913
2017-11-09,114.91583333333334
2017-11-10,119.4040909090909
2017-11-11,109.26727272727273
2017-11-12,120.354
2017-11-13,117.14666666666666
2017-11-14,89.475
2017-11-15,78.73058823529412
2017-11-16,74.19625
2017-11-17,70.82388888888889
2017-11-18,75.49277777777777
2017-11-19,76.59125
2017-11-20,71.13
2017-11-21,80.03208333333333
2017-11-22,94.763
2017-11-23,115.58
2017-11-24,98.59291666666667
2017-11-25,105.9509090909091
2017-11-26,103.87291666666665
2017-11-27,100.6059090909091
2017-11-28,103.21772727272727
2017-11-29,102.44625
2017-11-30,102.87045454545455
2017-12-01,97.10791666666667
2017-12-02,99.61916666666667
2017-12-03,101.05217391304348
2017-12-04,102.54238095238095
2017-12-05,98.92823529411764
2017-12-06,84.15
2017-12-07,88.34299999999999
2017-12-08,88.705
2017-12-09,86.2075
2017-12-10,85.78368421052632
2017-12-11,81.905
2017-12-12,81.71304347826087
2017-12-13,76.63521739130434
2017-12-14,72.6225
2017-12-15,74.72545454545455
2017-12-16,81.28875000000001
2017-12-17,73.43631578947368
2017-12-18,80.394
2017-12-19,98.4475
2017-12-20,116.14478260869565
2017-12-21,106.05833333333334
2017-12-22,90.15714285714286
2017-12-23,90.09625
2017-12-24,92.39590909090909
2017-12-25,94.73666666666666
2017-12-26,102.07875
2017-12-27,105.9
2017-12-28,112.56041666666665
2017-12-29,102.28875
2017-12-30,100.46208333333334
2017-12-31,100.08478260869565
2018-01-01,98.81583333333333
2018-01-02,100.27749999999999
2018-01-03,98.34791666666666
2018-01-04,103.43624999999999
2018-01-05,100.17916666666667
2018-01-06,101.84782608695652
2018-01-07,91.54590909090909
2018-01-08,96.68062499999999
2018-01-09,99.8290909090909
2018-01-10,96.50333333333333
2018-01-11,103.36999999999999
2018-01-12,104.61285714285714
2018-01-13,112.65545454545455
2018-01-14,106.52583333333332
2018-01-15,92.31347826086957
2018-01-16,93.86
2018-01-17,101.96181818181817
2018-01-18,98.28315789473683
2018-01-19,92.29304347826088
2018-01-20,85.02958333333333
2018-01-21,88.64958333333334
2018-01-22,90.99380952380952
2018-01-23,84.28391304347826
2018-01-24,82.19666666666667
2018-01-25,77.79375
2018-01-26,80.10875
2018-01-27,91.13375
2018-01-28,96.07
2018-01-29,88.874
2018-01-30,78.80624999999999
2018-01-31,81.39450000000001
2018-02-01,83.98826086956522
2018-02-02,80.5925
2018-02-03,80.96818181818182
2018-02-04,70.90347826086956
2018-02-05,74.93434782608696
2018-02-06,73.40833333333333
2018-02-07,71.02000000000001
2018-02-08,69.95428571428572
2018-02-09,71.18083333333333
2018-02-10,75.61833333333333
2018-02-11,68.13526315789473
2018-02-12,61.327999999999996
2018-02-13,61.751666666666665
2018-02-14,51.54947368421053
2018-02-15,60.3475
2018-02-16,69.6025
2018-02-17,73.71318181818182
2018-02-18,84.74521739130435
2018-02-19,85.57454545454546
2018-02-20,81.77458333333333
2018-02-21,79.90478260869565
2018-02-22,79.27434782608695
2018-02-23,73.695
2018-02-26,66.57142857142857
2018-02-27,62.53181818181818
2018-02-28,67.66041666666666
2018-03-01,70.50541666666668
2018-03-02,61.74583333333334
2018-03-03,54.46045454545455
2018-03-04,53.15956521739131
2018-03-05,50.90958333333333
2018-03-06,53.00125
2018-03-07,59.3165
2018-03-08,63.44954545454545
2018-03-09,68.19739130434782
2018-03-10,68.57307692307693
2018-03-11,70.05458333333333
2018-03-12,68.42954545454546
2018-03-18,58.295
2018-03-19,70.53545454545454
2018-03-20,74.35043478260869
2018-03-21,70.87125
2018-03-22,62.33958333333334
2018-03-23,62.47416666666666
2018-03-24,62.67958333333333
2018-03-25,64.38
2018-03-26,72.71166666666666
2018-03-27,73.40777777777777
2018-03-28,74.5047619047619
2018-03-29,71.8475
2018-03-30,65.84541666666667
2018-03-31,57.920416666666675
2018-04-01,48.598
2018-04-02,60.94133333333333
2018-04-03,60.54521739130435
2018-04-04,71.49249999999999
2018-04-05,61.96208333333333
2018-04-06,57.50083333333333
2018-04-07,52.530833333333334
2018-04-08,48.13818181818181
2018-04-09,53.14913043478261
2018-04-10,53.081875
2018-04-11,48.30227272727273
2018-04-12,44.43173913043478
2018-04-13,48.89333333333334
2018-04-14,53.86173913043478
2018-04-15,52.5504347826087
2018-04-16,57.54391304347826
2018-04-17,51.87083333333334
2018-04-18,54.61000000000001
2018-04-19,56.66083333333333
2018-04-20,53.843333333333334
2018-04-21,48.70249999999999
2018-04-22,46.73739130434783
2018-04-23,48.329047619047614
2018-04-24,54.470000000000006
2018-04-25,54.23818181818182
2018-04-26,49.60954545454546
2018-04-27,49.72866666666666
2018-04-28,48.46875
2018-04-29,46.338
2018-05-01,41.32375
2018-05-02,37.86217391304348
2018-05-03,35.38458333333333
2018-05-04,38.63863636363636
2018-05-05,46.432916666666664
2018-05-06,43.76791666666667
2018-05-07,47.20208333333333
2018-05-08,44.36739130434783
2018-05-09,47.04750000000001
2018-05-10,48.63916666666666
2018-05-11,48.409166666666664
2018-05-12,45.17458333333334
2018-05-13,40.037083333333335
2018-05-14,36.05714285714286
2018-05-28,44.865
2018-05-29,41.72708333333333
2018-05-30,40.83166666666667
2018-05-31,39.36875
2018-06-01,41.41416666666667
2018-06-02,42.836666666666666
2018-06-03,44.215
2018-06-04,43.37875
2018-06-05,41.0325
2018-06-06,39.336190476190474
2018-06-07,37.37
2018-06-08,33.29541666666667
2018-06-09,33.839
2018-06-10,31.42304347826087
2018-06-11,35.8025
